Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
30 05 2010,3 737,0,0,2 003,4 104,0,0,0,1 684
31 05 2010,5 596,0,0,3 345,6 474,0,0,0,3 035
01 06 2010,2 786,0,0,1 891,3 255,0,0,0,2 305
02 06 2010,6 791,0,0,4 150,7 204,0,0,0,3 261
03 06 2010,3 676,3 830,0,2 441,4 649,0,0,0,2 007
04 06 2010,7 083,9 235,0,4 513,6 939,0,0,0,2 964
05 06 2010,2 884,3 168,0,1 808,2 816,0,0,0,1 668
06 06 2010,989,1 691,0,766,1 234,0,0,0,1 619
07 06 2010,5 128,5 804,0,3 362,5 755,0,0,0,2 444
08 06 2010,6 281,6 495,0,3 933,6 631,0,0,0,2 726
09 06 2010,6 377,6 702,0,4 068,7 120,0,0,0,2 645
10 06 2010,2 387,2 449,0,1 591,2 976,0,0,0,1 381
11 06 2010,5 695,5 819,0,3 945,6 054,0,0,0,2 746
12 06 2010,4 226,4 822,0,2 823,4 031,0,0,0,2 051
13 06 2010,5 052,5 760,0,2 799,4 531,0,0,0,2 044
14 06 2010,3 810,3 887,0,2 730,3 867,0,0,0,1 854
15 06 2010,7 495,7 422,0,5 077,7 129,0,0,0,3 181
16 06 2010,3 447,2 618,0,2 363,4 062,0,0,0,2 301
17 06 2010,5 242,4 459,0,3 472,5 511,0,0,0,2 705
18 06 2010,7 288,5 904,0,4 909,6 556,0,0,0,3 283
19 06 2010,4 178,4 143,0,2 308,3 458,0,0,0,1 936
20 06 2010,3 350,3 788,0,1 719,3 141,0,0,0,1 613
21 06 2010,6 526,6 018,0,3 892,6 739,0,0,0,2 827
22 06 2010,6 821,5 371,0,3 876,6 574,0,0,0,2 935
23 06 2010,5 052,4 336,0,3 353,6 030,0,0,0,2 753
24 06 2010,2 420,2 537,0,1 231,2 457,0,0,0,1 371
25 06 2010,5 442,3 988,0,3 705,5 550,0,0,0,2 760
26 06 2010,4 040,3 567,0,2 857,3 714,0,0,0,2 031
27 06 2010,4 702,4 062,0,2 709,3 790,0,0,0,1 942
28 06 2010,2 976,2 499,0,2 040,3 916,0,0,0,1 807
29 06 2010,4 985,3 672,0,3 463,5 107,0,0,0,2 600
30 06 2010,4 484,3 561,0,3 002,5 271,0,0,0,2 706
01 07 2010,4 089,3 412,0,2 402,3 380,0,0,0,2 004
02 07 2010,6 108,4 990,0,3 780,5 622,0,0,0,2 818
03 07 2010,5 245,4 892,0,2 996,4 387,0,0,0,2 187
04 07 2010,4 297,4 071,0,2 622,3 620,0,0,0,1 698
05 07 2010,6 502,5 537,0,4 472,6 720,0,0,0,3 103
06 07 2010,6 313,5 186,0,4 083,6 698,0,0,0,2 824
07 07 2010,5 469,4 523,0,3 269,6 089,0,0,0,2 526
08 07 2010,5 193,3 976,0,3 131,6 233,0,0,0,2 570
09 07 2010,3 294,2 687,0,1 983,3 799,0,0,0,1 932
10 07 2010,3 991,4 051,0,2 276,3 720,0,0,0,1 765
11 07 2010,4 090,4 246,0,1 855,3 730,0,0,0,1 761
12 07 2010,5 261,5 395,0,3 300,6 208,0,0,0,2 555
13 07 2010,3 535,3 186,0,2 330,4 339,0,0,0,1 930
14 07 2010,6 244,6 442,0,3 939,6 900,0,0,0,2 909
15 07 2010,6 010,6 431,0,4 040,7 148,0,0,0,2 876
16 07 2010,4 215,4 146,0,2 853,5 152,0,0,0,2 228
17 07 2010,2 901,3 130,0,1 746,3 134,0,0,0,1 458
18 07 2010,4 262,4 610,0,2 377,3 705,0,0,0,1 661
19 07 2010,2 352,2 523,0,1 618,3 308,0,0,0,1 411
20 07 2010,6 703,6 694,0,4 105,7 105,0,0,0,2 853
21 07 2010,5 126,4 913,0,3 144,5 767,0,0,0,2 508
22 07 2010,6 475,6 177,0,3 828,6 783,0,0,0,2 857
23 07 2010,5 218,4 924,0,3 182,5 556,0,0,0,2 441
24 07 2010,4 239,4 030,0,2 447,3 489,0,0,0,1 800
25 07 2010,4 337,4 393,0,2 401,3 786,0,0,0,1 754
26 07 2010,5 975,6 334,0,3 555,6 316,0,0,0,2 487
27 07 2010,6 569,6 630,0,3 920,7 048,0,0,0,2 790
28 07 2010,5 040,5 084,0,3 296,5 971,0,0,0,2 436
29 07 2010,5 974,6 001,0,3 863,6 598,0,0,0,2 787
30 07 2010,4 848,5 289,0,3 623,5 662,0,0,0,2 608
31 07 2010,60,4 717,0,766,3 779,0,0,0,1 811
01 08 2010,79,5 040,0,836,3 768,0,0,0,1 672
02 08 2010,4 864,5 016,0,2 926,5 189,0,0,0,2 434
03 08 2010,2 112,1 920,0,1 309,2 305,0,0,0,1 352
04 08 2010,3 523,3 468,0,2 108,4 281,0,0,0,1 935
05 08 2010,4 657,4 801,0,2 946,5 540,0,0,0,2 401
06 08 2010,4 713,4 811,0,3 059,5 500,0,0,0,2 557
07 08 2010,4 313,4 625,0,2 417,3 878,0,0,0,1 892
08 08 2010,2 045,2 361,0,1 134,1 994,0,0,0,1 227
09 08 2010,4 569,4 854,0,2 868,5 212,0,0,0,2 585
10 08 2010,5 203,5 025,0,3 269,5 737,0,0,0,2 844
11 08 2010,6 429,6 267,0,3 790,6 692,0,0,0,3 045
12 08 2010,6 082,6 107,0,3 698,6 491,0,0,0,2 818
13 08 2010,5 506,5 585,0,2 841,6 070,0,0,0,2 631
14 08 2010,4 507,4 620,0,1 141,3 919,0,0,0,1 838
15 08 2010,2 994,2 906,0,5,2 776,0,0,0,1 276
16 08 2010,2 920,3 343,0,0,3 805,0,0,0,1 634
17 08 2010,5 967,6 306,0,0,6 513,0,0,0,2 525
18 08 2010,5 631,6 257,0,0,6 460,0,0,0,2 677
19 08 2010,5 488,5 739,0,0,6 267,0,0,0,2 461
20 08 2010,5 352,5 687,0,0,5 852,0,0,0,2 524
21 08 2010,1 925,2 293,0,0,2 293,0,0,0,1 321
22 08 2010,848,1 146,0,0,1 193,0,0,0,843
23 08 2010,4 152,4 831,0,0,5 092,0,0,0,2 102
24 08 2010,6 578,6 810,0,0,6 670,0,0,0,2 942
25 08 2010,5 251,5 448,0,0,6 041,0,0,0,2 834
26 08 2010,4 960,5 266,0,0,5 718,0,0,0,3 037
27 08 2010,5 349,5 840,0,0,6 015,0,0,0,2 967
28 08 2010,4 254,4 702,0,0,3 965,0,0,0,2 090
29 08 2010,4 403,5 130,0,0,3 752,0,0,0,1 941
30 08 2010,5 784,6 335,0,0,6 500,0,0,0,2 932
31 08 2010,6 030,6 302,0,0,6 728,0,0,0,2 893
01 09 2010,5 367,6 137,0,0,6 290,0,0,0,3 095
02 09 2010,5 004,5 305,0,0,6 019,0,0,0,2 892
03 09 2010,5 118,5 369,0,0,6 228,0,0,0,2 812
04 09 2010,2 337,2 495,0,0,2 741,0,0,0,1 611
05 09 2010,2 193,2 561,0,0,2 665,0,0,0,1 510
06 09 2010,2 766,3 092,0,0,2 367,0,0,0,1 364
07 09 2010,4 790,4 165,0,0,5 665,0,0,0,2 335
08 09 2010,4 283,3 945,0,0,5 518,0,0,0,264
09 09 2010,3 692,3 706,0,0,5 095,0,0,0,2 261
10 09 2010,5 397,5 522,0,0,6 501,0,0,0,3 238
11 09 2010,4 397,4 958,0,0,4 182,0,0,0,2 192
12 09 2010,2 061,2 286,0,0,2 478,0,0,0,1 789
13 09 2010,3 926,3 936,0,0,5 092,0,0,0,2 443
14 09 2010,4 480,4 308,0,0,5 690,0,0,0,2 657
15 09 2010,4 837,4 779,0,0,6 572,0,0,0,2 905
16 09 2010,3 073,3 090,0,0,4 284,0,0,0,2 228
17 09 2010,4 985,4 621,0,0,5 544,0,0,0,2 525
18 09 2010,4 812,4 364,0,0,3 476,0,0,0,1 951
19 09 2010,4 991,4 352,0,0,3 227,0,0,0,1 747
20 09 2010,4 939,5 112,0,0,6 438,0,0,0,2 676
21 09 2010,4 518,4 427,0,0,5 643,0,0,0,2 637
22 09 2010,3 924,3 939,0,0,5 096,0,0,0,2 288
23 09 2010,4 438,4 492,0,0,5 993,0,0,0,2 678
24 09 2010,2 515,2 604,0,0,3 793,0,0,0,1 960
25 09 2010,2 448,2 785,0,0,2 889,0,0,0,1 718
26 09 2010,1 380,1 714,0,0,1 802,0,0,0,1 390
27 09 2010,3 726,3 768,0,0,4 689,0,0,0,2 510
28 09 2010,2 568,2 327,0,0,3 395,0,0,0,1 794
29 09 2010,3 953,3 861,0,0,5 459,0,0,0,2 494
30 09 2010,1 367,1 408,0,0,1 964,0,0,0,1 661
01 10 2010,2 252,2 278,0,0,3 296,0,0,0,1 899
02 10 2010,2 034,2 675,0,0,2 738,0,0,0,1 932
